t	measuredXAcc	predictedXAcc
0.085	0.0088	0.3610
0.137	0.0430	0.3014
0.242	0.1348	0.1196
0.346	0.1484	-0.0954
0.450	0.0801	-0.2828
0.553	0.0234	0.1283
0.657	0.0000	-0.0158
0.761	-0.0586	-0.1553
1.019	-0.1045	-0.2544
1.072	-0.0703	-0.2167
1.177	-0.0137	-0.0969
1.280	0.0400	0.0486
1.383	0.0928	0.1803
1.487	0.1270	0.2612
1.593	0.1250	0.2659
1.700	0.0352	0.1350
1.799	-0.0117	0.0434
1.903	-0.0342	-0.0643
2.006	-0.0742	-0.1524
2.113	-0.1182	-0.1975
2.215	-0.0889	-0.1840
2.319	-0.0098	-0.1173
2.422	0.0312	-0.0173
2.541	0.0674	0.1027
2.631	0.1191	0.1702
2.734	0.1279	0.2016
2.838	0.0684	0.1757
2.941	0.0225	0.0814
3.046	-0.0137	-0.0050
3.149	-0.0664	-0.0881
3.255	-0.1094	-0.1468
3.359	-0.0898	-0.1612
3.462	-0.0293	-0.1291
3.569	0.0059	-0.0567
3.669	0.0518	0.0276
3.986	0.1055	0.1601
4.096	0.0332	0.1126
4.200	-0.0156	0.0311
4.299	-0.0557	-0.0375
4.402	-0.0928	-0.0978
4.504	-0.0957	-0.1299
4.608	-0.0605	-0.1250
4.709	0.0107	-0.0853
4.812	0.0400	-0.0205
4.915	0.0752	0.0504
5.019	0.1074	0.1077
5.245	0.0996	0.1164
5.331	-0.0107	0.0608
5.435	-0.0342	-0.0019
5.542	-0.0703	-0.0651
5.643	-0.0752	-0.1064
5.747	-0.0801	-0.1179
5.850	-0.0117	-0.0953
5.954	0.0156	-0.0445
6.340	0.0654	0.1215
6.368	0.0674	0.1192
6.475	0.0576	0.0884
6.576	-0.0400	0.0278
6.683	-0.0908	-0.0235
6.786	-0.0371	-0.0661
6.890	-0.0859	-0.0898
6.993	-0.0342	-0.0874
7.106	0.0400	-0.0563
7.206	0.0449	-0.0120
7.451	0.0645	0.0854
7.512	0.0967	0.0932
7.621	0.0264	0.0839
7.721	-0.0039	0.0523
7.822	-0.0391	0.0052
7.926	-0.0742	-0.0442
8.030	-0.0957	-0.0804
8.134	-0.0410	-0.0928
8.241	0.0127	-0.0771
8.340	0.0566	-0.0409
8.622	0.1191	0.0815
8.652	0.0918	0.0883
8.755	0.0400	0.1064
8.861	0.0020	0.0796
8.963	-0.0361	0.0319
9.067	-0.0762	-0.0251
9.172	-0.0830	-0.0745
9.275	-0.0537	-0.1009
9.380	-0.0176	-0.0976
9.482	0.0088	-0.0660
9.589	0.0752	-0.0126
9.815	0.0967	0.0939
9.898	0.0713	0.1080
10.001	0.0078	0.0903
10.110	-0.0312	0.0500
10.211	-0.0547	-0.0010
10.315	-0.0693	-0.0522
10.419	-0.0664	-0.0874
10.521	-0.0283	-0.0966
10.628	0.0195	-0.0765
10.729	0.0518	-0.0350
10.841	0.0830	0.0226
10.943	0.0996	0.0698
11.045	0.0771	0.0984
11.149	0.0166	0.0967
11.250	-0.0098	0.0673
11.352	-0.0430	0.0201
11.456	-0.0732	-0.0324
11.561	-0.0693	-0.0747
11.664	-0.0283	-0.0936
11.769	0.0068	-0.0843
11.873	0.0352	-0.0493
11.975	0.0713	0.0001
12.080	0.0889	0.0520
12.184	0.0762	0.0896
12.292	0.0264	0.0945
12.391	0.0010	0.0744
12.494	-0.0371	0.0341
12.598	-0.0684	-0.0151
12.703	-0.0713	-0.0589
12.806	-0.0322	-0.0837
12.910	-0.0029	-0.0834
13.014	0.0293	-0.0576
13.118	0.0654	-0.0138
13.224	-0.0459	0.0362
13.326	0.0996	0.0755
13.430	-0.0020	0.0952
13.533	-0.1172	0.0889
13.638	-0.1582	0.0578
13.740	-0.0127	0.0125
13.847	-0.0498	-0.0371
13.948	-0.1611	-0.0725
14.052	0.0312	-0.0869
14.175	0.1348	-0.0699
14.261	0.0518	-0.0393
14.364	0.1094	0.0081
14.469	0.1709	0.0554
14.573	-0.0088	0.0874
14.675	-0.0703	0.1207
14.779	-0.0225	0.1329
14.884	-0.0732	0.1077
14.988	-0.1523	0.0526
15.093	-0.0781	-0.0169
