t	measuredXAcc	predictedXAcc
0.085	0.0088	0.0088
0.137	0.0430	0.0430
0.242	0.1348	0.0755
0.346	0.1484	0.1132
0.450	0.0801	0.1487
0.553	0.0234	0.1618
0.657	0.0000	0.1395
0.761	-0.0586	0.0826
1.019	-0.1045	-0.0009
1.072	-0.0703	-0.0927
1.177	-0.0137	-0.1630
1.280	0.0400	-0.1842
1.383	0.0928	-0.1445
1.487	0.1270	-0.0513
1.593	0.1250	0.0707
1.700	0.0352	0.1820
1.799	-0.0117	0.2409
1.903	-0.0342	0.2274
2.006	-0.0742	0.1476
2.113	-0.1182	0.0232
2.215	-0.0889	-0.1134
2.319	-0.0098	-0.2192
2.422	0.0312	-0.2571
2.541	0.0674	-0.2153
2.631	0.1191	-0.1065
2.734	0.1279	0.0404
2.838	0.0684	0.1824
2.941	0.0225	0.2739
3.046	-0.0137	0.2871
3.149	-0.0664	0.2199
3.255	-0.1094	0.0904
3.359	-0.0898	-0.0661
3.462	-0.0293	-0.2016
3.569	0.0059	-0.2733
3.669	0.0518	-0.2614
3.986	0.1055	-0.1705
4.096	0.0332	-0.0310
4.200	-0.0156	0.1047
4.299	-0.0557	0.1888
4.402	-0.0928	0.1972
4.504	-0.0957	0.1320
4.608	-0.0605	0.0210
4.709	0.0107	-0.0912
4.812	0.0400	-0.1625
4.915	0.0752	-0.1702
5.019	0.1074	-0.1139
5.245	0.0996	-0.0122
5.331	-0.0107	0.0958
5.435	-0.0342	0.1651
5.542	-0.0703	0.1715
5.643	-0.0752	0.1169
5.747	-0.0801	0.0215
5.850	-0.0117	-0.0803
5.954	0.0156	-0.1513
6.340	0.0654	-0.1669
6.368	0.0674	-0.1234
6.475	0.0576	-0.0385
6.576	-0.0400	0.0521
6.683	-0.0908	0.1079
6.786	-0.0371	0.1107
6.890	-0.0859	0.0685
6.993	-0.0342	-0.0002
7.106	0.0400	-0.0655
7.206	0.0449	-0.0980
7.451	0.0645	-0.0877
7.512	0.0967	-0.0392
7.621	0.0264	0.0301
7.721	-0.0039	0.0901
7.822	-0.0391	0.1163
7.926	-0.0742	0.0985
8.030	-0.0957	0.0400
8.134	-0.0410	-0.0393
8.241	0.0127	-0.1067
8.340	0.0566	-0.1335
8.622	0.1191	-0.1062
8.652	0.0918	-0.0310
8.755	0.0400	0.0623
8.861	0.0020	0.1362
8.963	-0.0361	0.1641
9.067	-0.0762	0.1361
9.172	-0.0830	0.0601
9.275	-0.0537	-0.0384
9.380	-0.0176	-0.1250
9.482	0.0088	-0.1711
9.589	0.0752	-0.1613
9.815	0.0967	-0.0951
9.898	0.0713	0.0069
10.001	0.0078	0.1071
10.110	-0.0312	0.1677
10.211	-0.0547	0.1687
10.315	-0.0693	0.1128
10.419	-0.0664	0.0200
10.521	-0.0283	-0.0782
10.628	0.0195	-0.1476
10.729	0.0518	-0.1643
10.841	0.0830	-0.1229
10.943	0.0996	-0.0361
11.045	0.0771	0.0695
11.149	0.0166	0.1580
11.250	-0.0098	0.1986
11.352	-0.0430	0.1789
11.456	-0.0732	0.1055
11.561	-0.0693	-0.0001
11.664	-0.0283	-0.1046
11.769	0.0068	-0.1735
11.873	0.0352	-0.1858
11.975	0.0713	-0.1389
12.080	0.0889	-0.0466
12.184	0.0762	0.0641
12.292	0.0264	0.1583
12.391	0.0010	0.2054
12.494	-0.0371	0.1918
12.598	-0.0684	0.1221
12.703	-0.0713	0.0162
12.806	-0.0322	-0.0930
12.910	-0.0029	-0.1700
13.014	0.0293	-0.1920
13.118	0.0654	-0.1534
13.224	-0.0459	-0.0742
13.326	0.0996	0.0164
13.430	-0.0020	0.0983
13.533	-0.1172	0.1408
13.638	-0.1582	0.1152
13.740	-0.0127	0.0353
13.847	-0.0498	-0.0561
13.948	-0.1611	-0.1363
14.052	0.0312	-0.1909
14.175	0.1348	-0.1856
14.261	0.0518	-0.1109
14.364	0.1094	0.0030
14.469	0.1709	0.1266
14.573	-0.0088	0.2268
14.675	-0.0703	0.2584
14.779	-0.0225	0.2077
14.884	-0.0732	0.0995
14.988	-0.1523	-0.0379
15.093	-0.0781	-0.1734
15.195	0.0596	-0.2591
15.298	0.0459	-0.2593
15.402	0.0439	-0.1804
15.506	0.1475	-0.0494
15.613	0.1758	0.1068
15.715	0.0205	0.2445
15.818	0.0059	0.3122
15.921	0.0156	0.2922
16.027	-0.1221	0.1949
16.129	-0.1602	0.0378
16.237	-0.0205	-0.1341
16.337	0.0000	-0.2576
16.441	-0.0264	-0.2987
16.547	0.0928	-0.2541
16.651	0.1592	-0.1308
16.757	0.0947	0.0393
16.858	0.0762	0.1999
16.960	0.0469	0.3030
17.065	-0.0576	0.3194
17.168	-0.0801	0.2417
17.271	-0.0840	0.0947
17.375	-0.0918	-0.0754
17.482	-0.0527	-0.2201
17.588	0.0205	-0.2970
17.687	0.0723	-0.2817
17.791	0.0928	-0.1800
17.894	0.1211	-0.0236
18.004	0.1123	0.1431
18.114	0.0420	0.2719
18.208	-0.0293	0.3214
18.310	-0.0508	0.2764
18.413	-0.0811	0.1538
18.518	-0.1113	-0.0099
18.622	-0.0674	-0.1693
18.725	0.0293	-0.2742
18.829	0.0283	-0.2910
18.935	0.0693	-0.2206
19.037	0.1348	-0.0851
19.142	0.1113	0.0799
19.247	0.0264	0.2232
19.349	0.0127	0.2981
19.453	-0.0205	0.2868
19.557	-0.1035	0.1952
19.660	-0.1074	0.0463
19.766	-0.0527	-0.1150
19.868	-0.0312	-0.2372
19.974	0.0303	-0.2849
20.078	0.0869	-0.2445
20.181	0.1035	-0.1279
20.388	0.0898	0.0280
20.494	0.0068	0.1708
20.597	-0.0312	0.2521
20.699	-0.0576	0.2487
20.803	-0.0703	0.1681
20.907	-0.0781	0.0392
21.012	-0.0322	-0.0962
21.115	0.0215	-0.1935
21.220	0.0518	-0.2219
21.326	0.0947	-0.1747
21.428	0.1172	-0.0671
21.533	0.0957	0.0682
21.634	0.0215	0.1860
21.739	-0.0146	0.2456
21.843	-0.0430	0.2296
21.945	-0.0820	0.1454
22.051	-0.0889	0.0181
22.154	-0.0264	-0.1124
22.257	-0.0107	-0.2033
22.361	0.0322	-0.2289
22.465	0.0215	-0.1868
22.569	0.2275	-0.0840
22.673	-0.0479	0.0519
22.778	-0.1025	0.1550
22.882	0.1377	0.1948
22.985	-0.0801	0.1844
23.089	-0.3467	0.1045
23.194	0.1328	-0.0308
23.297	-0.0283	-0.1441
23.401	-0.2764	-0.2155
23.504	0.0762	-0.2528
23.609	0.2598	-0.2107
23.712	-0.0518	-0.0861
23.815	-0.0449	0.0482
23.920	0.2236	0.1544
24.023	0.0137	0.2311
24.128	-0.2266	0.2380
24.232	0.0557	0.1581
24.334	0.0527	0.0461
24.438	-0.1816	-0.0616
24.543	-0.0605	-0.1604
24.647	-0.2617	-0.2387
24.751	0.2861	-0.2627
24.853	-0.2607	-0.2123
24.959	-0.1055	-0.1371
25.073	0.3066	-0.0491
25.166	0.0586	0.0741
25.269	-0.2832	0.1680
25.374	0.1865	0.1835
25.478	0.1875	0.1672
25.580	-0.5098	0.1139
25.686	0.0596	-0.0099
25.788	0.2412	-0.1214
25.894	-0.4355	-0.1775
25.997	-0.2910	-0.2383
26.100	0.2988	-0.2745
26.204	0.0391	-0.2125
26.308	-0.2832	-0.0995
26.412	0.1807	-0.0009
26.515	0.2803	0.1055
26.620	-0.0391	0.2132
26.723	-0.0850	0.2569
26.827	0.0938	0.2204
26.932	0.0469	0.1426
27.039	-0.1572	0.0423
27.139	-0.1416	-0.0794
27.243	0.0439	-0.1871
27.360	0.0732	-0.2287
